Date,Close,Volume,MA_Short,MA_Long,Signal_MA,Return_MA,Vol_Avg,Signal_Vol,Return_Vol,OBV,OBV_Short,OBV_Long,Signal_OBV,Return_OBV
2020-01-01,10049.671415301122,1250.3707431373884,,,-1,,,0,,0.0,,,-1,
2020-01-02,10035.776307348757,1296.9420280806414,,,-1,0.0013826430117116484,,0,-0.0,-1296.9420280806414,,,-1,0.0013826430117116484
2020-01-03,10100.77688020088,1599.4435058897134,,,-1,-0.0064768853810068805,,0,0.0,302.50147780907196,,,-1,-0.0064768853810068805
2020-01-04,10254.614727815497,3977.4559929583966,,,-1,-0.015230298564080202,,0,0.0,4279.957470767468,,,-1,-0.015230298564080202
2020-01-05,10230.60320136544,2903.7223147809527,,,-1,0.0023415337472333375,,0,-0.0,1376.2351559865156,,,-1,0.0023415337472333375
2020-01-06,10206.649578352219,2622.9965777971947,,,-1,0.0023413695694917136,,0,-0.0,-1246.7614218106792,,,-1,0.0023413695694917136
2020-01-07,10367.834296527488,551.8438781772303,,,-1,-0.015792128155073915,,0,0.0,-694.9175436334489,,,-1,-0.015792128155073915
2020-01-08,10447.400657580067,1887.9169050116975,,,-1,-0.007674347291529271,,0,0.0,1192.9993613782485,,,-1,-0.007674347291529271
2020-01-09,10398.352787496728,1137.0125679820235,,,-1,0.004694743859349648,,0,-0.0,55.98679339622504,,,-1,0.004694743859349648
2020-01-10,10454.770094912794,1141.6440425996336,,,-1,-0.005425600435859712,,0,0.0,1197.6308359958587,,,-1,-0.005425600435859712
2020-01-11,10406.320840550101,3343.1820297288837,,,-1,0.004634176928124734,,0,-0.0,-2145.551193733025,,,-1,0.004634176928124734
2020-01-12,10357.855508143677,3729.9538650658556,,,-1,0.004657297535702543,,0,-0.0,-5875.505058798881,,,-1,0.004657297535702543
2020-01-13,10382.917610616709,3663.057268326196,,,-1,-0.002419622715660319,,0,0.0,-2212.4477904726846,,,-1,-0.002419622715660319
2020-01-14,10184.263299153685,5414.966126562908,,,-1,0.01913280244657789,,0,-0.0,-7627.413917035593,,,-1,0.01913280244657789
2020-01-15,10008.593125396503,1987.2602986916158,,,-1,0.017249178325130288,,0,-0.0,-9614.67421572721,,,-1,0.017249178325130288
2020-01-16,9952.31605439993,1852.097076075533,,,-1,0.005622875292409679,,0,-0.0,-11466.771291802743,,,-1,0.005622875292409679
2020-01-17,9851.515900206929,5625.9265522231235,,,-1,0.01012831120334412,,0,-0.0,-17092.697844025868,,,-1,0.01012831120334412
2020-01-18,9882.474026143527,3462.563365550552,,,-1,-0.0031424733259526327,,0,0.0,-13630.134478475316,,,-1,-0.0031424733259526327
2020-01-19,9792.738782729013,4110.629711515949,,,-1,0.009080240755212188,,0,-0.0,-17740.764189991263,,,-1,0.009080240755212188
2020-01-20,9654.435570438436,1770.9309376064523,10150.994033233976,,-1,0.014123037013352824,2666.4957893880974,0,-0.0,-19511.695127597715,-5087.548250292584,,-1,0.014123037013352824
2020-01-21,9795.93568652289,4595.999735423549,10138.307246795062,,-1,-0.014656487689215236,2833.7772390024047,1,0.0,-14915.695392174166,-5833.333019901293,,-1,-0.014656487689215236
2020-01-22,9773.818785331818,2575.1715692917364,10125.209370694216,,-1,0.002257763004865354,2897.68871606296,0,-0.002257763004865354,-17490.8669614659,-6643.029266570555,,-1,0.002257763004865354
2020-01-23,9780.418869687002,2238.0154683591363,10109.191470168522,,-1,-0.0006752820468791665,2929.617314186431,0,0.0,-15252.851493106766,-7420.796915116347,,-1,-0.0006752820468791665
2020-01-24,9641.072529237059,1448.7909104139412,10078.5143602396,,-1,0.014247481862134537,2803.184060059208,0,-0.0,-16701.642403520706,-8469.876908830756,,-1,0.014247481862134537
2020-01-25,9588.588195928949,2685.582958466849,10046.413609967776,,-1,0.005443827245251831,2792.277092243503,0,-0.0,-19387.225361987556,-9508.049934729459,,-1,0.005443827245251831
2020-01-26,9599.224106272488,6471.579390129692,10016.04233636379,,-1,-0.001109225897098609,2984.706232860128,0,0.0,-12915.645971857863,-10091.494162231818,,-1,-0.001109225897098609
2020-01-27,9488.737653326918,4156.49557456133,9972.087504203762,,-1,0.01150993577422299,3164.938817679333,0,-0.0,-17072.141546419192,-10910.355362371105,,-1,0.01150993577422299
2020-01-28,9524.386652656487,1864.552869226705,9925.936803957582,,-1,-0.003756980183456715,3163.7706158900833,0,0.0,-15207.588677192487,-11730.384764299642,,-1,-0.003756980183456715
2020-01-29,9467.17950144317,1222.1138715247496,9879.378139654906,,-1,0.0060063868991879765,3168.0256810672195,0,-0.0,-16429.702548717236,-12554.669231405316,,-1,0.0060063868991879765
2020-01-30,9439.56433055575,1217.4122037781374,9828.617851437051,,-1,0.002916937497932759,3171.8140891261446,0,-0.0,-17647.114752495374,-13496.906510829876,,-1,0.002916937497932759
2020-01-31,9382.765847813149,3054.9613645581517,9777.440101800205,,-1,0.006017066122293913,3157.403055867608,0,-0.0,-20702.076117053526,-14424.732756995902,,-1,0.006017066122293913
2020-02-01,9556.560772715748,3101.6272681186924,9737.375365028809,,-1,-0.018522781845089487,3125.98672602025,0,0.0,-17600.448848934833,-15010.979946502699,,-1,-0.018522781845089487
2020-02-02,9555.270902231037,3413.9151394869023,9695.993029609524,,-1,0.0001349722473793502,3113.5296195782853,0,-0.0,-21014.363988421734,-15951.07575640015,,-1,0.0001349722473793502
